Destination City,مدينة / وجهة السفر,
Exit Re-entry Required,مطلوب خروج وعودة,
Expected Travel Date,تاريخ السفر المتوقع,
Government Request,الطلب الحكومي,
Visa Request,طلب التأشيرة,
Payment Request,طلب السداد,
Payment Request Status,حالة طلب السداد,
Visa Payment Request,طلب سداد التأشيرة,
Visa Amount,قيمة التأشيرة,
Open Main Request,فتح الطلب الرئيسي,
Ticket Request,طلب التذكرة,
Linked Ticket Payment Request,طلب سداد التذكرة المرتبط,
Ticket Payment Request Status,حالة طلب سداد التذكرة,
GRO Status,حالة العلاقات الحكومية,
Finance Status,حالة المالية,
Clearance Status,حالة المخالصة,
Ticket Status,حالة التذكرة,
Return Status,حالة العودة,
Departure Airport,مطار المغادرة,
Arrival Airport,مطار الوصول,
Airport Code,رمز المطار,
Airport Name,اسم المطار,
Saudi Airport,مطار سعودي,
Late Return Stage 1,متأخر عن العودة,
Late Return Stage 2,تأخير جسيم,
Late Return Stage 3,تحويل للتحقيق / النظر في الفصل,
No Active Visa,لا توجد تأشيرة نشطة,
Active,نشطة,
Expired,منتهية,
Missing,مفقود,
Expiring Soon,تنتهي قريبًا,
Valid,سارية,
Draft,مسودة,
Request Type,نوع الطلب,
Linked Visa,التأشيرة المرتبطة,
Linked Payment Request,طلب السداد المرتبط,
Linked Ticket Request,طلب التذكرة المرتبط,
Linked Clearance,المخالصة المرتبطة,
Clearance Amount,قيمة المخالصة,
Custody Amount,قيمة العهدة,
Parent Request,الطلب الأب,
Assigned To,مسند إلى,
Request Date,تاريخ الطلب,
Due Date,تاريخ الاستحقاق,
Priority,الأولوية,
Government Platform,المنصة الحكومية,
Government Reference No,المرجع الحكومي,
External Link,الرابط الخارجي,
Amount,المبلغ,
Remarks,ملاحظات,
Attachment,مرفق,
Execution Logs,سجل التنفيذ,
Documents,المستندات,
Visa Number,رقم التأشيرة,
Visa Type,نوع التأشيرة,
Entry Type,نوع الدخول,
Minimum Days,الحد الأدنى لعدد الأيام,
Maximum Days,الحد الأقصى لعدد الأيام,
Duration Days,عدد الأيام,
Issue Date,تاريخ الإصدار,
Expiry Date,تاريخ الانتهاء,
Payment Type,نوع السداد,
Visa Price,قيمة التأشيرة,
Ticket Amount,قيمة التذكرة,
Employee Qiwa Balance,رصيد الموظف في قوى,
Company Payable Amount,المبلغ المطلوب على الشركة,
Payment Account,حساب السداد,
Cost Center,مركز التكلفة,
Payment Reference,مرجع السداد,
Payment Date,تاريخ السداد,
Journal Entry,قيد اليومية,
Receipt Attachment,مرفق الإيصال,
Clearance Type,نوع المخالصة,
Total Financial Liability,إجمالي الالتزامات المالية,
Total Asset Liability,إجمالي التزامات العهد,
Total Leave Settlement,إجمالي تسوية الإجازات,
Total Liability,إجمالي الالتزامات,
Clearance Items,بنود المخالصة,
Custody Type,نوع العهدة,
Asset,أصل,
Description,الوصف,
Issue Date,تاريخ الإصدار,
Expected Return Date,تاريخ الإرجاع المتوقع,
Return Date,تاريخ الإرجاع,
Estimated Value,القيمة التقديرية,
Amount Due,المبلغ المستحق,
Departure Date,تاريخ الذهاب,
Return Date,تاريخ العودة,
Airline,شركة الطيران,
Booking Reference,مرجع الحجز,
Ticket Number,رقم التذكرة,
Ticket Amount,قيمة التذكرة,
Ticket Attachment,مرفق التذكرة,
Transfer Direction,اتجاه النقل,
New Sponsor,الكفيل الجديد,
Qiwa Request No,رقم طلب قوى,
Outside KSA Leaves Today,إجازات خارج السعودية اليوم,
Employees Outside KSA,الموظفون خارج السعودية,
Pending Payments,طلبات السداد المعلقة,
Pending Tickets,طلبات التذاكر المعلقة,
Pending Clearances,المخالصات المعلقة,
Expired Passports,جوازات منتهية,
Expired Iqamas,إقامات منتهية,
Late Return Cases,حالات التأخر في العودة,
Pending Payment Requests,طلبات السداد بانتظار التنفيذ,
Outside KSA Center,مركز إجازات خارج السعودية,
No data,لا توجد بيانات,
Blocked / Missing Requirements,موقوف بسبب متطلبات ناقصة,
Passport is expired for this employee.,الجواز منتهي لهذا الموظف.,
Passport or Iqama is expired for this employee.,الجواز أو الإقامة منتهية لهذا الموظف.,
Open Travel Profile,فتح ملف السفر,
Generate Clearance Items,توليد بنود المخالصة,
Outside KSA Leave Workflow Report,تقرير دورة إجازة خارج السعودية,
Employees Outside KSA Report,تقرير الموظفين خارج السعودية,
Late Return Report,تقرير التأخر في العودة,
Visa Payment Report,تقرير سداد التأشيرات,
Ticket Request Report,تقرير طلبات التذاكر,
Clearance Liability Report,تقرير التزامات المخالصات,
Passport Expiry Report,تقرير انتهاء الجوازات,
Iqama Expiry Report,تقرير انتهاء الإقامات,
Sponsorship Transfer Payment Report,تقرير سداد نقل الكفالة,
Government Expenses GL Summary,ملخص مصروفات العلاقات الحكومية بالأستاذ العام,
Settings and Pricing,الإعدادات والتسعير,
Sponsorship Transfers,نقل الكفالة,
Open Settings,فتح الإعدادات,
Open Sponsorship Transfers,فتح نقل الكفالة,
New Transfer,طلب نقل جديد,
Visa Pricing Rules,قواعد تسعير التأشيرات,
Sponsorship Transfer Pricing Rules,قواعد تسعير نقل الكفالة,
Default Company,الشركة الافتراضية,
Currency,العملة,
Departure Offset,إزاحة تاريخ الذهاب,
Return Offset,إزاحة تاريخ العودة,
Late Return Stage 1,المرحلة الأولى للتأخر,
Late Return Stage 2,المرحلة الثانية للتأخر,
Late Return Stage 3,المرحلة الثالثة للتأخر,
Current Sponsor,الكفيل الحالي,
Qiwa Request,طلب قوى,
Transfer Request,طلب نقل الكفالة,
New Visa,تأشيرة جديدة,
Ticket Pricing Rules,قواعد تسعير التذاكر,
Ticket Class,درجة التذكرة,
